Scheduled Date,Suggested Time Local,Wave,Group Name,State / Region,Priority,Caption ID,Poster Variant,Tracking Link,Manual/Tool,Post Result,Post URL,Notes
2026-06-10,8:15 PM,Wave 1 - Core Pilot,Wisconsin Public Land Hunter,Wisconsin,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-wi,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-10,8:45 PM,Wave 1 - Core Pilot,Wisconsin whitetail community,Wisconsin,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-wi,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-10,9:15 PM,Wave 1 - Core Pilot,Wisconsin Deer Hunters,Wisconsin,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-wi,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-11,8:15 PM,Wave 1 - Core Pilot,Wisconsin Rut Freaks&Hunting Report,Wisconsin,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-wi,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-11,8:45 PM,Wave 1 - Core Pilot,Minnesota deer hunters,Minnesota,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-mn,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-11,9:15 PM,Wave 1 - Core Pilot,Michigan deer hunting,Michigan,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-mi,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-12,8:15 PM,Wave 1 - Core Pilot,Ohio Whitetail Deer 2,Ohio,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-oh,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-12,8:45 PM,Wave 1 - Core Pilot,Indiana Deer Hunting,Indiana,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-in,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-12,9:15 PM,Wave 1 - Core Pilot,Iowa Deer Hunters,Iowa,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-ia,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-15,8:15 PM,Wave 1 - Core Pilot,All Iowa Deer,Iowa,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-ia,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-15,8:45 PM,Wave 1 - Core Pilot,Missouri Whitetail Deer Hunters,Missouri,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-mo,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-15,9:15 PM,Wave 1 - Core Pilot,Tennessee Deer Hunters,Tennessee,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-tn,Manual or Multigroup Poster,,,Post one time only; check after 24 and 72 hours.
2026-06-18,8:30 PM,Wave 1B - Careful Large Group Test,Public Land Whitetails,United States,A - Careful Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-publicland,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-19,8:30 PM,Wave 1B - Careful Large Group Test,Deer Age and Score Page,United States,A - Careful Pilot,CAP-B,FB-Core-DeerCamp,/r/fb-deer-groups,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-22,8:30 PM,Wave 1B - Careful Large Group Test,Run'n Gun Whitetail Hunters,United States,A - Careful Pilot,CAP-B,FB-Core-DeerCamp,/r/fb-deer-groups,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-23,8:30 PM,Wave 1B - Careful Large Group Test,Virginia Whitetail Deer Hunters VAWDH,Virginia,A - Pilot,CAP-A,FB-Core-DeerCamp,/r/fb-deer-va,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-24,8:30 PM,Wave 1B - Careful Large Group Test,Deer Hunting,United States,B - Careful Later,CAP-A,FB-Core-DeerCamp,/r/fb-deer-groups,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-25,8:30 PM,Wave 1B - Careful Large Group Test,Deer Hunters,United States,B+,CAP-A,FB-Core-DeerCamp,/r/fb-deer-groups,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
2026-06-26,8:30 PM,Wave 1B - Careful Large Group Test,Deer Hunters Of America,United States,B+,CAP-A,FB-Core-DeerCamp,/r/fb-deer-groups,Manual preferred,,,Large group - use founder-feedback tone; do not repeat within 14 days.
